,BRAND,DOLS,CATEGORY
486,metalicious,25921.0,JEWELRY
487,miansai,27581.0,JEWELRY
488,michele,115.0,JEWELRY
489,michou,2539.0,JEWELRY
490,midas,177243.0,JEWELRY
491,mikimoto,5152165.0,JEWELRY
492,milano,523.0,JEWELRY
493,mioro,40143.0,JEWELRY
494,misahara,322090.0,JEWELRY
495,mister,6088.0,JEWELRY
496,mokumeganeya,314.0,JEWELRY
497,motif,28001.0,JEWELRY
498,movado,376794.0,JEWELRY
499,murat,18802.0,JEWELRY
500,muzo,,JEWELRY
501,naledi,693.0,JEWELRY
502,nambe,570.0,JEWELRY
503,nelson,116386.0,JEWELRY
504,nest,471465.0,JEWELRY
505,nialaya,,JEWELRY
506,ninacci,18802.0,JEWELRY
507,nomination,130.0,JEWELRY
508,nuvoboho,18.0,JEWELRY
509,omega,97687.0,JEWELRY
510,onecklace,,JEWELRY
511,oressence,18802.0,JEWELRY
512,ovadia,2539.0,JEWELRY
513,pampillonia,133.0,JEWELRY
514,pandora,61035054.0,JEWELRY
515,paragon,2539.0,JEWELRY
516,persona,1433542.0,JEWELRY
517,piaget,708593.0,JEWELRY
518,picchiotti,529995.0,JEWELRY
519,platini,9401.0,JEWELRY
520,platinum,32497.0,JEWELRY
521,pomellato,,JEWELRY
522,preciosa,2.0,JEWELRY
523,pyrrha,3917.0,JEWELRY
524,qalo,90327.0,JEWELRY
525,quid,,JEWELRY
526,rahaminov,162773.0,JEWELRY
527,rajola,28203.0,JEWELRY
528,rdi,21341.0,JEWELRY
529,rebecca,7700.0,JEWELRY
530,relica,1704.0,JEWELRY
531,repossi,2350733.0,JEWELRY
532,ritani,7694565.0,JEWELRY
533,rmc,5360.0,JEWELRY
534,romance,809.0,JEWELRY
535,rommanel,14736.0,JEWELRY
536,rosemarie,1154.0,JEWELRY
537,roxy,287.0,JEWELRY
538,schaffrath,18802.0,JEWELRY
539,sequel,128.0,JEWELRY
540,serinium,,JEWELRY
541,shinola,3446.0,JEWELRY
