,BRAND,CATEGORY,DOLS
559,storm,JEWELRY,
560,stuller,JEWELRY,726027.0
561,swarovski,JEWELRY,3165925.0
562,swatch,JEWELRY,162395.0
563,sylvie,JEWELRY,671858.0
564,szor,JEWELRY,746.0
565,tacori,JEWELRY,15610182.0
566,taj,JEWELRY,10579.0
567,takat,JEWELRY,229343.0
568,takohl,JEWELRY,161870.0
569,tateossian,JEWELRY,42000.0
570,technaoro,JEWELRY,11940.0
571,teno,JEWELRY,23182.0
572,tenoara,JEWELRY,
573,thorsten,JEWELRY,72867.0
574,tiffany,JEWELRY,21668461.0
575,titanium,JEWELRY,140663.0
576,tous,JEWELRY,1529108.0
577,tribes,JEWELRY,
578,triton,JEWELRY,47195.0
579,tritonraw,JEWELRY,2539.0
580,trollbeads,JEWELRY,28752.0
581,twogether,JEWELRY,5087.0
582,unavelo,JEWELRY,28203.0
583,uneek,JEWELRY,5705.0
584,uni,JEWELRY,6900.0
585,valentino,JEWELRY,320544.0
586,valina,JEWELRY,1069.0
587,vantani,JEWELRY,
588,vendorafa,JEWELRY,120405.0
589,verdura,JEWELRY,1172243.0
590,verragio,JEWELRY,323340.0
591,versace,JEWELRY,2727.0
592,vhernier,JEWELRY,1870751.0
593,vicenza,JEWELRY,18239.0
594,victoria,JEWELRY,4800.0
595,vivaan,JEWELRY,
596,wanderer,JEWELRY,8686.0
597,wellendorff,JEWELRY,4191.0
598,wlc,JEWELRY,9401.0
599,wolf,JEWELRY,4608.0
600,ych,JEWELRY,8462.0
601,yvel,JEWELRY,596520.0
602,zanggarts,JEWELRY,
603,zeeba,JEWELRY,5000.0
604,zeghani,JEWELRY,3080.0
605,zen,JEWELRY,102740.0
606,zenger,JEWELRY,27267.0
607,zenove,JEWELRY,11001.0
608,ziggit,JEWELRY,907.0
609,zorrata,JEWELRY,11584.0
610,zydo,JEWELRY,3082.0
611,axe,MEN_HAIRCARE,480765.0
612,clash,MEN_HAIRCARE,9001.0
613,cremo,MEN_HAIRCARE,34817.0
614,fish,MEN_HAIRCARE,11767.0
615,fisticuffs,MEN_HAIRCARE,179.0
616,hilee,MEN_HAIRCARE,205.0
617,jax,MEN_HAIRCARE,6672.0
618,kiehls,MEN_HAIRCARE,7397.0
619,murrays,MEN_HAIRCARE,6512.0
620,rogaine,MEN_HAIRCARE,9489.0
621,contenders,MEN_UNDERWEAR,270.0
622,dailyjocks,MEN_UNDERWEAR,3222.0
623,diesel,MEN_UNDERWEAR,36170.0
624,eroix,MEN_UNDERWEAR,
625,frigo,MEN_UNDERWEAR,5314515.0
626,guess,MEN_UNDERWEAR,475640.0
627,hanes,MEN_UNDERWEAR,884669.0
628,jockey,MEN_UNDERWEAR,5925223.0
629,mypakage,MEN_UNDERWEAR,2894.0
630,pump,MEN_UNDERWEAR,73.0
