,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
149,espa,810.0,COSMETICS,1,0,0,0,0,0,2,0,1,1,4,1,1,0,1,0
150,essence,6363.0,COSMETICS,0,0,0,0,0,1,3,0,0,1,7,2,1,0,3,0
151,essie,1654.0,COSMETICS,0,0,0,0,0,0,3,0,0,1,5,2,1,0,2,0
152,flirt,,COSMETICS,0,1,0,0,1,2,1,0,1,0,5,1,0,0,1,0
153,foreo,10841.0,COSMETICS,0,0,0,0,1,1,3,0,0,1,5,1,0,0,1,2
154,fortunaye,885.0,COSMETICS,0,0,0,0,1,3,4,0,1,1,9,1,0,0,1,2
155,fullips,29698.0,COSMETICS,0,0,0,1,1,2,2,0,1,0,7,2,0,0,1,1
156,glamalor,,COSMETICS,0,0,1,0,0,4,3,1,1,0,8,0,0,0,0,1
157,glamglow,,COSMETICS,0,0,0,0,0,4,2,1,2,0,8,0,0,0,0,1
158,gucci,1022.0,COSMETICS,0,0,0,0,0,0,2,1,1,1,5,0,0,0,1,1
159,guerlain,275980.0,COSMETICS,0,0,1,0,0,3,4,1,1,0,8,0,0,0,2,1
160,healthbeauto,616.0,COSMETICS,0,0,0,0,0,1,6,0,3,1,12,1,0,0,2,2
161,ifirmation,9087.0,COSMETICS,0,0,1,0,0,3,5,0,1,0,10,1,1,0,3,1
162,jafra,4824.0,COSMETICS,1,0,0,0,1,1,2,0,0,1,5,2,0,0,0,0
163,jane,170.0,COSMETICS,0,0,0,0,1,1,2,0,0,1,4,1,0,0,1,0
164,jergens,65701.0,COSMETICS,0,0,0,1,1,2,2,0,1,0,7,2,0,0,2,0
165,julep,1758.0,COSMETICS,0,1,0,0,1,1,2,0,1,0,5,1,0,0,1,1
166,kiss,14766.0,COSMETICS,0,0,0,1,0,0,1,1,1,0,4,2,0,0,1,0
